Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
VMRC-LCD;lung;lung_NSCLC_adenocarcinoma;361.375139;INA6;Non-Hodgkin Lymphoma;5,08;4,23;6,42;5,47;1,97;1,53;;
HH;blood;T_cell_leukemia;361.813170;U251MG;Diffuse Glioma;6,28;3,37;7,07;4,45;2,38;1,08;;
NCI-H1838;lung;lung_NSCLC_adenocarcinoma;362.214415;SW403;Colorectal Adenocarcinoma;3,84;1,88;7,04;4,82;2,18;5,06;;
NCI-H1568;lung;lung_NSCLC_adenocarcinoma;372.947012;Y79;Retinoblastoma;5,94;3,23;6,63;3,96;1,36;2,78;;
NCI-H1666;lung;lung_NSCLC_adenocarcinoma;373.231706;CCLFPEDS0003T;Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma;5,87;1,81;7,31;3,05;0,86;2,43;;
SNU-C1;digestive_system;large_intestine;381.826022;L540;Hodgkin Lymphoma;6,00;4,08;6,68;2,45;1,41;2,38;;
SW756;urogenital_system;cervix;389.176630;JL1;Pleural Mesothelioma;6,54;2,80;8,01;4,33;0,87;2,05;;
TT;thyroid;thyroid;396.003797;SIMA;Neuroblastoma;5,05;3,29;6,22;5,31;2,35;2,66;;
WM278;skin;melanoma;403.060123;CAL148;Invasive Breast Carcinoma;6,55;3,20;7,65;4,90;1,82;3,30;;
OVMIU;urogenital_system;ovary;409.839201;786O;Renal Cell Carcinoma;3,84;3,05;6,61;5,61;1,43;1,73;;
MDA-MB-330;breast;breast;420.300449;ACCMESO1;Pleural Mesothelioma;1,97;2,39;8,88;4,53;1,11;1,96;;
NCI-H1355;lung;lung_NSCLC_adenocarcinoma;427.479936;SKNSH;Neuroblastoma;5,93;3,42;7,19;4,41;3,29;2,57;;
SW684;soft_tissue;fibrosarcoma;433.778019;CAL29;Bladder Urothelial Carcinoma;5,03;2,94;6,62;4,42;2,22;0,55;;
NCI-H1573;lung;lung_NSCLC_adenocarcinoma;449.320671;KPNYN;Neuroblastoma;5,87;3,34;6,52;4,30;3,05;3,02;;
TT2609-C02;thyroid;thyroid;450.848800;A3KAW;Non-Hodgkin Lymphoma;5,46;3,34;9,05;3,98;2,81;3,19;;
HT-1376;urogenital_system;bladder;465.619894;HPBALL;T-Lymphoblastic Leukemia/Lymphoma;3,60;3,69;6,92;4,03;2,85;2,28;;
TGBC24TKB;digestive_system;biliary_tract;490.261412;CALU6;Non-Small Cell Lung Cancer;3,59;3,13;6,67;4,34;0,93;2,74;;
KYSE-410;aero_digestive_tract;oesophagus;504.771020;KYSE410;Esophageal Squamous Cell Carcinoma;4,49;2,92;6,90;3,77;1,85;1,02;;
DK-MG;nervous_system;glioma;507.028495;RH41;Rhabdomyosarcoma;2,82;2,99;6,67;4,41;1,83;1,68;;
NCI-H2347;lung;lung_NSCLC_adenocarcinoma;517.440179;PANC1005;Pancreatic Adenocarcinoma;4,75;3,90;7,82;4,43;2,00;1,04;;
SW1710;urogenital_system;bladder;533.776776;NIHOVCAR3;Ovarian Epithelial Tumor;5,69;3,06;6,68;4,23;2,32;1,84;;
COLO-829;skin;melanoma;569.421919;LS180;Colorectal Adenocarcinoma;6,40;2,66;6,55;4,70;2,13;3,30;;
CAL-120;breast;breast;586.634100;IGR37;Melanoma;1,64;3,63;10,10;6,58;3,10;4,15;;
Hs-746T;digestive_system;stomach;592.489014;JR;Rhabdomyosarcoma;5,56;1,77;7,16;4,29;1,42;1,09;;
NCI-H1693;lung;lung_NSCLC_adenocarcinoma;613.782771;HUG1N;Esophagogastric Adenocarcinoma;5,88;3,35;5,55;4,68;2,85;2,62;;
ZR-75-30;breast;breast;666.904297;YD38;Head and Neck Squamous Cell Carcinoma;2,99;3,06;8,28;5,31;1,07;0,30;;
KYSE-70;aero_digestive_tract;oesophagus;683.827643;RCHACV;B-Lymphoblastic Leukemia/Lymphoma;6,93;3,07;6,58;4,11;1,73;0,28;;
MFM-223;breast;breast;704.016081;HCC1954;Breast Ductal Carcinoma In Situ;6,61;2,98;6,44;5,73;3,77;2,09;;
KP-2;pancreas;pancreas;716.050605;HEC108;Endometrial Carcinoma;5,98;3,72;5,92;4,23;3,01;4,04;;
LS-123;digestive_system;large_intestine;732.381299;SAOS2;Osteosarcoma;5,09;3,98;7,55;4,94;2,05;2,13;;
NCI-H2405;lung;lung_NSCLC_adenocarcinoma;754.298876;BT474;Invasive Breast Carcinoma;6,11;3,07;6,74;3,87;1,88;4,10;;
HuP-T3;pancreas;pancreas;756.526641;KMCH1;Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma;5,24;3,68;6,38;4,72;1,34;0,77;;
Hs-766T;pancreas;pancreas;757.415035;TE9;Esophageal Squamous Cell Carcinoma;4,21;2,81;7,06;4,55;3,08;1,46;;
PANC-02-03;pancreas;pancreas;760.312201;MDST8;Colorectal Adenocarcinoma;5,17;2,77;8,98;3,91;1,10;1,75;;
NCI-H1793;lung;lung_NSCLC_adenocarcinoma;791.658568;MOLT16;T-Lymphoblastic Leukemia/Lymphoma;6,57;3,68;5,49;3,40;1,79;1,40;;
MFE-280;urogenital_system;endometrium;822.028430;NUGC2;Esophagogastric Adenocarcinoma;7,04;2,90;7,82;5,13;1,64;1,25;;
YAPC;pancreas;pancreas;889.789239;MM127;Melanoma;4,98;2,79;8,50;4,12;0,89;0,46;;
SW1271;lung;lung_small_cell_carcinoma;899.162824;SNGM;Endometrial Carcinoma;6,22;2,74;6,18;3,66;1,25;3,10;;
HPAF-II;pancreas;pancreas;910.328521;NCIH889;Lung Neuroendocrine Tumor;4,98;3,92;5,93;4,23;1,75;0,93;;
BT-474;breast;breast;1140.199904;OCIC4P;Ovarian Epithelial Tumor;3,10;2,65;7,62;2,90;1,37;1,40;;
NCI-H1650;lung;lung_NSCLC_adenocarcinoma;1166.673020;DANG;Pancreatic Adenocarcinoma;3,40;3,40;7,24;4,35;1,46;1,21;;
SK-GT-4;aero_digestive_tract;oesophagus;1176.337031;UWB1289;Ovarian Epithelial Tumor;3,31;2,83;8,93;3,84;0,53;1,22;;
KATOIII;digestive_system;stomach;1202.059900;MOLM13;Acute Myeloid Leukemia;5,89;2,49;6,68;3,56;0,70;0,19;;
DBTRG-05MG;nervous_system;glioma;1215.711017;HARA;Non-Small Cell Lung Cancer;5,67;3,40;7,10;4,81;2,63;1,07;;
HPAC;pancreas;pancreas;1258.034872;HCC366;Non-Small Cell Lung Cancer;5,96;3,31;7,54;3,49;1,58;2,70;;
TK10;kidney;kidney;1397.846840;HKGZCC;Intraductal Papillary Neoplasm of the Bile Duct;6,10;2,55;6,84;4,95;1,99;1,05;;
SW1417;digestive_system;large_intestine;1496.974866;IHH4;Well-Differentiated Thyroid Cancer;5,81;2,63;7,71;3,70;1,70;1,03;;
SU8686;pancreas;pancreas;1538.826301;SKNO1;Acute Myeloid Leukemia;5,13;2,65;7,49;3,31;1,47;3,36;;
HCC1428;breast;breast;1585.149695;SLR21;Renal Cell Carcinoma;4,48;2,40;6,98;3,79;1,52;1,97;;
KYSE-520;aero_digestive_tract;oesophagus;1633.590956;HS751T;Non-Cancerous;5,25;3,18;7,66;5,08;2,27;2,93;;
BT-483;breast;breast;1639.192476;C84;Colorectal Adenocarcinoma;2,38;2,66;8,79;3,38;1,28;3,04;;
RO82-W-1;thyroid;thyroid;1712.633735;TM31;Diffuse Glioma;5,10;3,26;8,24;5,25;2,74;1,24;;
EFO-21;urogenital_system;ovary;1803.496559;SKNEP1;Ewing Sarcoma;6,92;4,07;6,45;4,45;3,77;3,36;;
OVKATE;urogenital_system;ovary;1863.666595;MV411;Acute Myeloid Leukemia;6,14;2,20;7,00;2,86;0,28;0,29;;
MZ1-PC;pancreas;pancreas;2058.891592;UBLC1;Bladder Urothelial Carcinoma;3,84;3,21;5,48;3,91;2,11;1,37;;
CAPAN-2;pancreas;pancreas;2161.281580;NCIH2286;Lung Neuroendocrine Tumor;2,64;3,90;6,64;4,34;1,60;4,57;;
VMRC-RCZ;kidney;kidney;2351.388776;T173;Non-Cancerous;5,46;3,33;7,76;5,75;2,07;2,38;;
RMG-I;urogenital_system;ovary;2370.092927;CORL88;Lung Neuroendocrine Tumor;5,68;3,80;5,56;4,55;1,65;2,51;;
NCI-H28;lung;mesothelioma;3003.071612;JHH2;Hepatocellular Carcinoma;4,05;3,07;7,61;4,26;3,49;1,98;;
COLO-678;digestive_system;large_intestine;4384.873352;MDAMB231;Invasive Breast Carcinoma;5,51;2,96;7,95;4,44;1,97;0,82;;
NCI-H226;lung;lung_NSCLC_squamous_cell_carcinoma;5868.117874;RPMI8402;T-Lymphoblastic Leukemia/Lymphoma;6,40;3,87;6,13;4,12;1,90;1,17;;
AsPC-1;pancreas;pancreas;7479.212650;HCC44;Non-Small Cell Lung Cancer;2,14;2,88;6,61;4,11;0,90;0,77;;
PANC-04-03;pancreas;pancreas;10372.944661;5637;Bladder Urothelial Carcinoma;5,94;2,89;7,62;4,66;1,55;1,05;;
;;;;EGI1;Intraductal Papillary Neoplasm of the Bile Duct;5,01;1,89;6,76;2,59;0,86;0,92;;
;;;;TF1;Acute Myeloid Leukemia;4,08;3,45;6,50;4,54;2,78;5,48;;
;;;;M040416;Melanoma;4,66;2,71;10,75;4,37;1,59;2,50;;
;;;;NB1643;Neuroblastoma;5,34;2,50;6,98;3,78;1,97;1,85;;
;;;;253JBV;Bladder Urothelial Carcinoma;5,68;3,08;7,96;4,47;1,56;2,07;;
;;;;AMO1;Non-Hodgkin Lymphoma;5,45;3,47;7,92;4,17;1,77;2,00;;
;;;;U251MGDM;Diffuse Glioma;6,57;3,53;8,34;4,37;2,87;1,28;;
;;;;SKMEL24;Melanoma;5,16;3,06;8,89;3,66;2,50;1,54;;
;;;;RS5;Non-Cancerous;4,30;2,91;7,79;5,17;2,84;1,23;;
;;;;HCC1500;Breast Ductal Carcinoma In Situ;5,51;3,90;8,73;5,29;2,65;3,60;;
;;;;OVISE;Ovarian Epithelial Tumor;5,17;2,38;6,15;4,26;1,43;3,43;;
;;;;EWS502;Ewing Sarcoma;6,71;3,53;6,49;4,49;3,30;2,64;;
;;;;CAL78;Chondrosarcoma;5,54;2,72;7,90;5,21;3,01;0,71;;
;;;;COLO783;Melanoma;5,65;3,64;10,55;4,65;4,11;2,40;;
;;;;CHLA15;Neuroblastoma;5,76;2,88;7,31;3,97;2,06;1,80;;
;;;;KURAMOCHI;Ovarian Epithelial Tumor;6,79;3,64;8,06;3,41;1,29;1,26;;
;;;;SUDHL6;Non-Hodgkin Lymphoma;6,16;2,48;6,49;3,34;2,01;0,70;;
;;;;769P;Renal Cell Carcinoma;5,32;2,28;7,38;4,30;1,43;1,67;;
;;;;NCIH2291;Non-Small Cell Lung Cancer;4,69;3,92;6,35;4,53;1,96;0,73;;
;;;;FTC133;Well-Differentiated Thyroid Cancer;5,97;3,76;7,80;4,92;2,37;0,45;;
;;;;T3M3;Gestational Trophoblastic Disease;4,76;2,96;6,89;5,99;1,70;5,00;;
;;;;CAKI1;Renal Cell Carcinoma;4,25;2,27;8,75;3,71;1,12;0,94;;
;;;;EW8;Ewing Sarcoma;6,00;3,28;6,45;3,58;2,51;3,10;;
;;;;COV362;Ovarian Epithelial Tumor;5,94;3,30;7,32;3,99;1,21;0,77;;
;;;;COLO320;Colorectal Adenocarcinoma;5,45;3,19;6,91;4,84;2,34;3,60;;
;;;;HB1119;B-Lymphoblastic Leukemia/Lymphoma;5,66;3,10;4,30;3,38;2,06;0,45;;
;;;;PACADD161;Pancreatic Adenocarcinoma;1,96;3,36;6,67;4,74;1,94;0,95;;
;;;;LN319;Diffuse Glioma;6,86;2,56;6,37;5,10;2,17;1,00;;
;;;;OVCAR8;Ovarian Epithelial Tumor;5,75;3,48;7,59;3,93;1,26;2,32;;
;;;;RDES;Ewing Sarcoma;6,64;3,89;6,44;4,18;3,72;3,68;;
;;;;HS675T;Non-Cancerous;4,46;2,84;7,71;5,50;2,86;0,82;;
;;;;NCIH1703;Non-Small Cell Lung Cancer;4,35;3,14;7,28;4,08;2,03;2,63;;
;;;;8505C;Anaplastic Thyroid Cancer;6,12;2,95;7,37;4,90;1,71;1,34;;
;;;;SKNFI;Neuroblastoma;5,78;4,13;6,31;6,53;4,25;2,79;;
;;;;RH28;Rhabdomyosarcoma;3,33;2,24;7,26;4,69;1,91;2,78;;
;;;;PANC0813;Pancreatic Adenocarcinoma;6,49;3,25;6,41;4,58;1,73;0,64;;
;;;;SUM190PT;Invasive Breast Carcinoma;1,75;2,63;7,78;6,11;2,62;0,78;;
;;;;CHP212;Neuroblastoma;6,41;3,17;6,86;4,42;3,04;3,13;;
;;;;UPCISCC074;Head and Neck Squamous Cell Carcinoma;5,65;2,64;6,89;3,94;2,09;0,64;;
;;;;KON;Head and Neck Squamous Cell Carcinoma;5,43;2,00;7,40;3,84;2,11;0,50;;
;;;;WM4235;Melanoma;6,56;2,90;8,43;4,37;2,95;1,28;;
;;;;LU65;Non-Small Cell Lung Cancer;5,15;3,12;7,35;4,65;1,59;3,55;;
;;;;NGP;Neuroblastoma;5,17;2,69;7,26;3,43;1,45;2,10;;
;;;;JJN3;Non-Hodgkin Lymphoma;0,38;3,44;8,74;3,80;2,44;1,23;;
;;;;SCABER;Bladder Squamous Cell Carcinoma;4,52;2,76;6,68;3,48;0,70;0,21;;
;;;;LN443;Diffuse Glioma;5,76;2,90;7,68;4,19;2,52;1,11;;
;;;;HSC5;Cutaneous Squamous Cell Carcinoma;5,48;3,18;7,07;5,47;3,48;1,10;;
;;;;HS611T;Hodgkin Lymphoma;6,14;4,09;7,10;5,00;2,06;0,37;;
;;;;42MGBA;Diffuse Glioma;5,02;2,55;7,55;4,47;2,05;0,68;;
;;;;NCIH1693;Non-Small Cell Lung Cancer;4,16;3,02;8,48;3,48;0,96;1,02;;
;;;;TKKK;Intraductal Papillary Neoplasm of the Bile Duct;2,72;3,05;6,96;3,81;2,51;5,61;;
;;;;NCIH1155;Non-Small Cell Lung Cancer;5,10;3,54;6,94;4,47;3,19;2,31;;
;;;;JVM2;Non-Hodgkin Lymphoma;5,49;3,85;7,71;3,31;3,17;1,42;;
;;;;JHH5;Hepatocellular Carcinoma;5,72;3,26;6,97;4,79;1,23;3,56;;
;;;;NCIH1373;Non-Small Cell Lung Cancer;3,00;3,42;6,86;4,90;2,32;0,26;;
;;;;NZM3;Melanoma;4,30;3,38;10,94;5,41;2,48;1,49;;
;;;;SKMEL5;Melanoma;4,03;3,21;10,57;6,09;2,74;2,35;;
;;;;C4I;Cervical Squamous Cell Carcinoma;3,74;2,82;7,52;5,53;1,60;0,93;;
;;;;DMS53;Lung Neuroendocrine Tumor;5,76;3,43;7,17;4,56;2,59;5,01;;
;;;;BFTC905;Bladder Urothelial Carcinoma;3,21;2,91;6,94;4,94;0,85;1,26;;
;;;;ICC108;Intraductal Papillary Neoplasm of the Bile Duct;4,39;3,17;7,85;5,58;2,27;0,90;;
;;;;MDAMB436;Invasive Breast Carcinoma;5,12;3,65;7,89;5,24;1,53;2,01;;
;;;;UPCISCC131;Head and Neck Squamous Cell Carcinoma;3,55;1,82;7,09;4,71;1,01;0,18;;
;;;;CCK81;Colorectal Adenocarcinoma;6,48;2,87;6,32;4,70;1,52;2,78;;
;;;;MM383;Melanoma;5,48;2,57;9,10;4,25;1,50;1,40;;
;;;;SKGT2;Esophagogastric Adenocarcinoma;5,37;2,76;6,22;4,75;1,96;0,53;;
;;;;NCIH1435;Non-Small Cell Lung Cancer;4,72;3,25;7,04;4,48;2,17;2,17;;
;;;;TGBC52TKB;Ampullary Carcinoma;0,84;2,26;8,55;4,16;2,20;1,02;;
;;;;WM1799;Melanoma;5,42;3,27;8,92;4,73;2,55;2,38;;
;;;;FLO1;Esophagogastric Adenocarcinoma;6,63;3,20;7,86;4,70;2,12;2,58;;
;;;;SKMEL2;Melanoma;4,21;3,52;10,38;4,33;2,61;1,22;;
;;;;RPE1SS51;Non-Cancerous;5,21;2,46;7,80;4,33;2,20;1,11;;
;;;;U2OS;Osteosarcoma;4,83;3,29;7,55;3,55;2,10;1,70;;
;;;;NCIH1666;Non-Small Cell Lung Cancer;4,88;2,59;8,38;3,58;0,84;0,94;;
;;;;SNU1;Esophagogastric Adenocarcinoma;5,27;3,56;6,39;4,79;1,67;4,33;;
;;;;CAMA1;Invasive Breast Carcinoma;5,48;3,39;8,45;4,54;2,59;4,32;;
;;;;HSQ89;Head and Neck Squamous Cell Carcinoma;4,88;3,01;8,27;4,32;2,34;1,84;;
;;;;LAMA84;Myeloproliferative Neoplasms;3,44;3,27;5,35;2,84;1,20;5,17;;
;;;;HT144SKINFV3;Melanoma;4,93;2,90;6,94;4,22;1,86;1,59;;
;;;;HUCCT1;Intraductal Papillary Neoplasm of the Bile Duct;4,89;2,60;7,81;2,87;0,92;0,18;;
;;;;HCSC1;Cervical Adenocarcinoma;4,58;3,48;7,86;5,13;1,64;2,70;;
;;;;LAN2;Neuroblastoma;5,90;3,72;7,53;4,29;2,16;1,88;;
;;;;SEKI;Melanoma;5,63;4,31;9,46;4,94;2,94;1,97;;
;;;;CHAGOK1;Non-Small Cell Lung Cancer;5,18;3,26;6,39;4,14;1,43;3,20;;
;;;;WM115;Melanoma;5,56;3,63;9,51;4,69;2,96;0,69;;
;;;;HSOS1;Osteosarcoma;6,45;2,74;7,76;3,91;2,68;2,41;;
;;;;HMCB;Melanoma;5,19;3,32;8,91;4,85;2,93;2,97;;
;;;;PA1;Ovarian Germ Cell Tumor;5,82;3,23;7,31;5,52;0,79;2,38;;
;;;;SNU1077;Endometrial Carcinoma;5,11;2,73;6,64;3,45;0,96;2,12;;
;;;;ECGI10;Esophageal Squamous Cell Carcinoma;6,46;3,38;5,81;4,84;1,94;1,60;;
;;;;MEG01;Myeloproliferative Neoplasms;5,98;2,71;7,04;2,73;1,53;4,11;;
;;;;NCIH1648;Non-Small Cell Lung Cancer;4,64;3,79;7,58;3,80;1,24;1,18;;
;;;;NCIH2004RT;Rhabdoid Cancer;5,97;2,66;7,18;3,63;1,50;2,35;;
;;;;NCIH522;Non-Small Cell Lung Cancer;1,97;3,06;6,86;4,05;3,04;2,46;;
;;;;VMRCRCZ;Renal Cell Carcinoma;2,88;3,71;6,95;4,58;1,91;2,49;;
;;;;JHUEM3;Endometrial Carcinoma;3,15;3,40;7,10;4,14;1,93;2,50;;
;;;;BXPC3;Pancreatic Adenocarcinoma;6,08;3,32;6,88;4,27;1,32;0,26;;
;;;;RERFLCAD2;Non-Small Cell Lung Cancer;5,30;2,23;7,95;3,47;1,23;2,14;;
;;;;HS766T;Pancreatic Adenocarcinoma;6,99;2,91;8,06;4,71;2,13;2,14;;
;;;;8305C;Anaplastic Thyroid Cancer;6,04;3,02;7,75;4,87;2,30;1,83;;
;;;;HEC59;Endometrial Carcinoma;5,72;3,61;7,39;5,04;1,48;3,09;;
;;;;SHSY5Y;Neuroblastoma;5,13;3,06;7,00;4,41;3,40;1,70;;
;;;;P12ICHIKAWA;T-Lymphoblastic Leukemia/Lymphoma;7,16;3,78;6,05;3,39;2,05;1,26;;
;;;;NB1;Neuroblastoma;5,73;2,99;7,73;5,27;3,01;3,08;;
;;;;253J;Bladder Urothelial Carcinoma;5,46;2,54;7,88;4,50;1,71;1,74;;
;;;;NCIH1838;Non-Small Cell Lung Cancer;6,07;3,42;6,43;3,80;1,10;2,39;;
;;;;NH12;Neuroblastoma;4,97;2,93;6,38;4,23;2,40;1,53;;
;;;;HUNS1;Non-Hodgkin Lymphoma;6,04;2,42;7,13;4,05;1,96;0,38;;
;;;;SNU308;Intracholecystic Papillary Neoplasm;5,22;3,59;7,16;4,72;3,29;1,92;;
;;;;SKMEL30;Melanoma;4,09;2,87;10,72;5,51;3,21;1,97;;
;;;;OC316;Ovarian Epithelial Tumor;5,80;3,15;7,00;4,89;2,88;3,10;;
;;;;COLO680N;Esophageal Squamous Cell Carcinoma;7,12;2,95;6,90;5,02;1,84;1,16;;
;;;;GB1;Diffuse Glioma;7,31;2,98;6,96;5,25;2,61;0,65;;
;;;;ICC3;Intraductal Papillary Neoplasm of the Bile Duct;6,16;2,75;8,34;4,80;1,48;1,56;;
;;;;JVE253;Colorectal Adenocarcinoma;6,56;3,96;7,69;5,54;1,12;1,88;;
;;;;NCIH1105;Lung Neuroendocrine Tumor;7,41;4,29;5,30;3,96;2,26;2,40;;
;;;;LS;Neuroblastoma;6,30;2,87;7,23;3,79;2,33;1,77;;
;;;;MDAMB175VII;Invasive Breast Carcinoma;4,00;2,99;7,52;4,33;2,50;3,46;;
;;;;MERO14;Pleural Mesothelioma;6,52;3,71;8,14;4,11;2,26;1,35;;
;;;;OCIC5X;Ovarian Epithelial Tumor;4,38;2,48;8,90;3,90;1,30;2,88;;
;;;;KM12;Colorectal Adenocarcinoma;4,92;3,01;5,57;4,72;1,64;2,31;;
;;;;KYSE270;Esophageal Squamous Cell Carcinoma;3,18;2,26;5,08;3,79;1,28;2,37;;
;;;;SYO1;Synovial Sarcoma;5,60;3,09;7,70;4,29;2,07;1,99;;
;;;;NCIH157DM;Non-Small Cell Lung Cancer;3,79;2,98;7,84;4,60;1,80;1,76;;
;;;;OV17R;Ovarian Epithelial Tumor;4,95;2,21;7,86;4,34;0,79;1,86;;
;;;;NCCMPNST2C1;Nerve Sheath Tumor;4,51;3,16;7,88;5,79;3,08;1,77;;
;;;;CBAGPN;Ewing Sarcoma;6,98;3,33;6,51;3,84;1,86;3,14;;
;;;;G292CLONEA141B1;Osteosarcoma;2,68;2,99;7,15;3,98;1,82;1,51;;
;;;;TE11;Esophageal Squamous Cell Carcinoma;5,33;2,51;7,11;3,95;2,38;0,12;;
;;;;SHP77;Lung Neuroendocrine Tumor;6,37;3,19;6,65;4,19;1,92;2,27;;
;;;;TM87;Embryonal Tumor;5,64;3,35;7,47;3,72;2,42;3,37;;
;;;;TE1;Esophageal Squamous Cell Carcinoma;6,14;3,66;6,87;4,63;1,32;2,24;;
;;;;M07E;Acute Myeloid Leukemia;6,35;3,52;6,53;3,42;2,58;5,96;;
;;;;MHHCALL4;B-Lymphoblastic Leukemia/Lymphoma;6,96;3,69;5,81;3,41;1,58;0,49;;
;;;;A375SKINCJ1;Melanoma;5,34;3,66;8,86;4,16;1,99;1,27;;
;;;;KARPAS422;Non-Hodgkin Lymphoma;4,84;4,65;7,40;3,87;2,11;0,65;;
;;;;CCLFUPGI0005T;Esophagogastric Adenocarcinoma;5,27;2,13;8,06;3,63;2,30;1,27;;
;;;;A204;Rhabdomyosarcoma;5,77;2,81;7,29;4,22;1,34;2,38;;
;;;;EFE184;Endometrial Carcinoma;5,43;2,56;7,01;2,93;0,44;1,48;;
;;;;RL952;Endometrial Carcinoma;5,47;2,82;6,82;4,79;0,82;2,94;;
;;;;MCC13;Merkel Cell Carcinoma;6,15;3,06;7,50;4,68;2,54;1,45;;
;;;;HHUA;Endometrial Carcinoma;5,93;2,45;6,42;4,35;1,34;2,58;;
;;;;SW1783;Diffuse Glioma;5,67;3,58;7,94;4,89;3,64;1,35;;
;;;;RERFLCKJ;Non-Small Cell Lung Cancer;4,01;2,98;6,17;6,00;2,30;0,56;;
;;;;MELHO;Melanoma;4,02;3,21;11,16;5,55;2,62;3,81;;
;;;;MAPACHS77;Pancreatic Adenocarcinoma;5,10;3,29;7,48;5,15;2,69;1,09;;
;;;;GCT;Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma;5,24;3,34;8,40;3,51;1,37;0,59;;
;;;;LPS853;Liposarcoma;5,23;2,34;8,57;3,71;2,12;1,57;;
;;;;IOMMLEE;Meningothelial Tumor;4,93;2,96;8,70;3,90;1,08;0,87;;
;;;;SNU1214;Head and Neck Squamous Cell Carcinoma;5,04;2,51;6,96;5,42;1,27;1,78;;
;;;;NCIH1930;Lung Neuroendocrine Tumor;5,63;4,10;6,58;4,27;2,02;3,57;;
;;;;RS411;B-Lymphoblastic Leukemia/Lymphoma;5,29;1,82;7,03;2,29;0,31;0,15;;
;;;;MDAMB453;Invasive Breast Carcinoma;5,68;2,67;8,71;3,20;1,51;1,24;;
;;;;PC9;Non-Small Cell Lung Cancer;5,57;2,82;7,85;4,04;1,74;1,18;;
;;;;PFEIFFER;Non-Hodgkin Lymphoma;0,96;3,86;7,22;5,30;1,46;1,90;;
;;;;SMSCTR;Rhabdomyosarcoma;2,09;3,04;8,11;4,94;2,20;0,71;;
;;;;CI;B-Lymphoblastic Leukemia/Lymphoma;5,78;2,97;8,43;2,88;2,07;0,25;;
;;;;KYSE180;Esophageal Squamous Cell Carcinoma;5,72;3,19;6,66;4,44;2,54;1,39;;
;;;;SKOV3;Ovarian Epithelial Tumor;2,01;2,57;7,88;4,28;2,11;3,10;;
;;;;KE37;Non-Hodgkin Lymphoma;6,88;3,94;6,22;4,41;2,40;1,10;;
;;;;SKMEL3;Melanoma;5,22;3,56;10,40;6,40;4,30;2,32;;
;;;;NCIH209;Lung Neuroendocrine Tumor;4,30;4,47;6,96;4,32;2,20;2,72;;
;;;;MUTZ5;B-Lymphoblastic Leukemia/Lymphoma;6,55;3,17;5,79;3,59;2,04;0,33;;
;;;;HEMCSS;Chondrosarcoma;6,32;2,80;7,34;3,74;2,12;2,64;;
;;;;NCCSTCK140;Esophagogastric Adenocarcinoma;5,86;3,41;6,93;4,44;2,07;2,77;;
;;;;ESO51;Esophagogastric Adenocarcinoma;4,77;1,99;7,16;3,04;1,66;0,34;;
;;;;GMS10;Diffuse Glioma;6,44;3,00;6,71;4,65;2,45;1,45;;
;;;;RPMI8226;Non-Hodgkin Lymphoma;4,74;2,93;7,52;3,35;3,02;0,26;;
;;;;MERO25;Pleural Mesothelioma;3,45;3,25;6,77;5,65;1,26;2,04;;
;;;;MOLT3;Non-Hodgkin Lymphoma;6,28;4,05;4,94;3,10;2,50;0,82;;
;;;;NCIH647;Non-Small Cell Lung Cancer;5,57;3,00;7,55;4,27;1,68;0,39;;
;;;;ESS1;Uterine Sarcoma/Mesenchymal;4,20;3,20;7,19;4,92;2,15;0,65;;
;;;;HCC364;Non-Small Cell Lung Cancer;3,93;3,49;8,07;4,31;1,73;1,14;;
;;;;LN340;Diffuse Glioma;6,36;3,50;7,54;5,28;2,38;2,37;;
;;;;CME1;Synovial Sarcoma;5,83;2,79;8,01;4,84;2,11;1,42;;
;;;;NCIH526;Lung Neuroendocrine Tumor;5,59;3,90;6,71;5,08;2,83;3,37;;
;;;;SCC3;Non-Hodgkin Lymphoma;0,52;1,42;5,51;1,45;0,21;1,23;;
;;;;MCC26;Merkel Cell Carcinoma;3,91;3,06;7,47;4,43;2,38;2,49;;
;;;;NCIH2085;Non-Small Cell Lung Cancer;6,59;3,14;7,29;3,97;1,12;4,17;;
;;;;MFE296;Endometrial Carcinoma;5,06;2,93;6,62;5,12;1,91;3,03;;
;;;;ICC2;Intraductal Papillary Neoplasm of the Bile Duct;5,39;2,03;7,46;3,61;2,04;1,46;;
;;;;CHLA32;Ewing Sarcoma;3,23;3,82;7,24;5,48;2,40;2,11;;
;;;;GP2D;Colorectal Adenocarcinoma;6,24;3,68;6,34;4,90;1,85;4,67;;
;;;;RAMOS;Non-Hodgkin Lymphoma;4,52;3,22;6,56;2,84;1,16;0,38;;
